/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_06_line_00000.wav
tts_lines_part_06_line_00018.wav(129.7872340425532%)|yêu người ta thương người ta mà lại để tú anh về hỏi người ta|nhiều người ta thì người ta mà lại để tú anh về hỏi người ta 
tts_lines_part_15_line_00671.wav(51.515151515151516%)|trong hàng trăm cái mới có một vài cái đề là cần người làm còn thì toàn là những yết thị gọi thầu gọi bán đồ cũ gọi cho thuê nhà v  |trong hàng trăm cái mới có một vài cái đề là cần người làm còn thì toàn là những chất thị gọi thầu gọi bán đồ cũ gọi cho thuê nhà về
tts_lines_part_15_line_00672.wav(100.0%)|v |và
tts_lines_part_15_line_00673.wav(71.07843137254902%)|mỗi lần thấy những chữ cần người làm anh phúc lại thấy quả tim đập rất mạnh nhưng ba lần anh đều thất vọng cả ba vì cái yết thị thứ nhất thì cần một người đen tây gác cổng cái thứ hai cần một chục cu ly và cái thứ ba cần một người bán hàng nhưng lại thuộc giống đẹp|mỗi lần thấy những chữ cần người làm anh phúc lại thấy quả tim đập rất mạnh nhưng ba lần anh đều thất vọng cả ba vì cái ấy thì thứ nhất thì cần một người đen tây gác cổng cái thứ hai cần một chục cu ly và cái thứ ba cần một người bán hàng nhưng lại thuộc giống đẹp 
tts_lines_part_15_line_00675.wav(129.54545454545453%)|tuy vậy thế cũng chưa đến nỗi hoàn toàn thất vọng vì nếu cũng còn có một vài nhà phải yết thị gọi người làm thì nghĩa là nạn kinh tế khủng hoảng có lẽ đã bớt và dân số thất nghiệp ắt cũng chẳng quá nhiều như ta vẫn tưởng xưa nay|vì vậy thế cũng chưa đến nỗi hoàn toàn thất vọng vì nếu cũng còn có một vài nhà phải yết thị gọi người làm thì nghĩa là nạn kinh tế khủng hoảng có lẽ đã bớt và dân số thất nghiệp ắt cũng chẳng quá nhiều như ta vẫn tưởng xưa nay 
tts_lines_part_15_line_00676.wav(40.25157232704403%)|anh ta cứ vững tâm chắp tay sau đít mà ung dung như một người du sơn du thủy và mỗi khi bên trong cửa kính thấy có người đương bầy hàng mà ngẩng lên nhìn anh thì đôi mắt anh bỏ phăng những mảnh giấy yết thị|anh ta cứ vững tâm chắp tay sau đít mà ung dung như một người du sơn du thủy và mỗi khi bên trong cửa kính thấy có người đương bầy hàng mà lần lên nhìn anh thì đôi mắt anh bỏ phăng những mảnh giấy yết thị  
tts_lines_part_15_line_00692.wav(100.0%)|than ôi|hà nội 
tts_lines_part_15_line_00698.wav(26.605504587155966%)|giữa lúc anh tần ngần đứng trước cửa kính thì sự mỉa mai của số phận sui khiến ra cái sự có người thư ký ra bóc cái yết thị ấy để xé phăng nó đi |giữa lúc anh tần ngần đứng trước cửa kính thì sự mỉa mai của số phận sui khiến ra cái sự có người thư ký ra bóc cái nhất thì anh để sẽ phân đó đi
tts_lines_part_15_line_00704.wav(105.12820512820514%)|ai bảo ta chỉ tập tễnh muốn làm một nhà đạo đức một người chẳng chịu lụy ai không bị ai bắt nạt áp chế|ai bảo ta chỉ tập tay muốn là một nhà đạo đức một người chẳng chịu lụy ai không bị ai bắt nạt áp chế  
tts_lines_part_15_line_00715.wav(100.0%)|ngắm mãi|năm bẩy 
tts_lines_part_15_line_00720.wav(36.11111111111111%)|hay anh cứ vào xin nộp đơn dầu đã chậm một ngày|hay anh cứ vào xin nộp đơn dầu đã trả một ngày 
tts_lines_part_15_line_00730.wav(74.4186046511628%)|thôi ai cũng đã sắp về chẳng nên vội để đến chiều là hơn|thôi ai cũng đã sắp về trà nên vội để đến chiều là hơn  
tts_lines_part_15_line_00734.wav(50.0%)|chứ bỡn|chỉ bởi
tts_lines_part_15_line_00741.wav(25.0%)|anh còn ngơ ngác tìm phòng giám đốc thì gặp một người tây đi qua mặt và người này trừng trừng nhìn anh  |anh còn ngơ ngác tìm phòng giám đốc thì gặp một người tây đi qua mặt và người này trường trường nhìn anh
tts_lines_part_15_line_00744.wav(75.0%)|sang|hai 
tts_lines_part_15_line_00745.wav(50.0%)|sang|sao 
tts_lines_part_15_line_00774.wav(125.0%)|quá hạn rồi không chấp đơn nữa|có hạn rồi không chấp đơn nữa 
tts_lines_part_15_line_00780.wav(72.65625%)|nhưng ra tới ngoài hè anh lại trông thấy ông chủ hãng lúc ấy đương miệng thì huýt còi tay thì giơ cao lên ra hiệu cho con chó khổng lồ phải nhảy lên liếm cái bàn tay|nhưng ra tới ngoài hè anh lại trông thấy ông chủ hãng lúc ấy đương nhiên thì với còi tay thì giơ cao lên ra hiệu cho con chó khổng lồ phải nhảy lên liếm cái bàn tay 
tts_lines_part_15_line_00785.wav(21.951219512195124%)|hai mươi phút trôi qua như thế ông chủ hãng xe hơi mới chịu thôi cho đút tay vào quần để lững thững đi vào  |hai mươi phút trôi qua như thế ông chủ hãng xe hơi mới chịu thôi cho đút tay vào quần để lương thượng đi vào
tts_lines_part_15_line_00792.wav(115.78947368421053%)|mais foutez moi la paix|me pho cát mới là ít   
tts_lines_part_15_line_00812.wav(23.140495867768596%)|đến con kiến cũng biết tha lâu đầy tổ phòng xa những cảnh cơ hàn cớ sao ta là người ta chẳng biết đi kiếm tiền dẫu là không cần ngay thì cũng để dành một chỗ|đến con kiến cũng biết tha lâu đầy tổ phòng xa những cảnh cơ hàn cớ sao ta là người ta chẳng biết đi kiếm tiền dẫu là không cần này thì cũng để dành một chỗ 
tts_lines_part_15_line_00816.wav(83.33333333333334%)|chẳng bữa nay thì bữa mai chẳng chỗ này thì chỗ khác vũ trụ còn để thừa nhiều|chẳng bữa nay thì bữa mai thảm chỗ này thì chỗ khác vũ trụ còn để thừa nhiều 
tts_lines_part_15_line_00822.wav(100.32467532467533%)|thật thế tuy anh đương là kẻ chẳng có một địa vị cực kỳ cao thượng song chưa ai biết mà khi ngồi viết bài ấy anh cũng biết dùng đến giọng đàn anh của một bậc hiền nhân quân tử hẳn hoi tựa hồ như một nhà triết học danh tiếng đã vang lừng khắp cả âu á để mạt sát cái trào lưu sùng thượng vật chất tham vàng bỏ nghĩa của cả nhân loại cái nhân loại mù lòa và nô lệ của những công trình do mình sáng tác ra|thật thế tuy anh đương là kẻ chẳng có một địa vị cực kỳ cao thượng song chưa ai biết mà khi mới viết bài ấy anh cũng biết dùng đến giọng đàn anh của một bậc hiền nhân quân tử hẳn hoi tựa hồ như một nhà triết học danh tiếng đã vang lừng khắp cả âu á để mạt sát cái trào lưu sùng thượng vật chất tham vàng bỏ nghĩa của cả nhân loại cái nhân loại mù lòa và nô lệ của những công trình do mình sáng tác ra 
tts_lines_part_15_line_00843.wav(114.28571428571428%)|bẩm những bài trào phúng hằng ngày mà ngài ký tên là mặt giăng tôi đọc cũng thấy làm kính phục lắm|những bài trào phúng hằng ngày mà ngài ký tên là mặt giăng tôi đọc cũng thấy làm kính phục lắm    
tts_lines_part_15_line_00852.wav(140.0%)|ái chà |tại chợ
tts_lines_part_15_line_00864.wav(129.26829268292684%)|tuy vậy những ý kiến lạ lùng cách hành văn tha thiết của phúc cũng vẫn đắc thắng một cách rõ rệt vì sau mười lăm phút nghe đọc ai cũng gật gù tấm tắc khen ngợi|vì vậy những ý kiến lạ lùng cách hành văn tha thiết của phúc cũng vẫn đắc thắng một cách rõ rệt vì sau mười lăm phút nghe đọc ai cũng gần vụ tấm tắc khen ngợi 
tts_lines_part_15_line_00866.wav(111.11111111111111%)|đến gandhi thì cũng chỉ viết hay được đến thế|đến ra đi thì cũng chỉ viết hay được đến thế 
tts_lines_part_15_line_00874.wav(88.23529411764706%)|sự học hành của anh bấy lâu nay chẳng phải vô ích cho sinh kế của anh đâu ai dám bảo là bây giờ anh không có hy vọng trở nên một nhà viết báo xuất sẳc và được mời ngay vào làm cho đông phương nhật báo|sự học hành của anh bấy lâu nay chẳng phải bới cho sinh kế của an đâu ai dám bảo là bây giờ anh không có hy vọng trở nên một nhà viết báo xuất sắc và được mời ngay vào làm cho đông phương nhật báo    
tts_lines_part_15_line_00878.wav(55.118110236220474%)|được cái men hy vọng giúp cho anh say xưa một cách đầy thi vị phúc tự hỏi một cách ngạc nhiên quái sao ta cứ tưởng muốn giữ cho cao thượng ắt không được làm nghề gì|được cái men hy vọng giúp cho anh say xưa một cách đầy thi vị phúc tự hỏi một cách ngạc nhiên của sao ta cứ tưởng muốn giữ cho cao thượng ắt không được làm nghề gì 
tts_lines_part_15_line_00882.wav(32.0%)|chưa chi anh đã thấy mình đến cái chốn công viên yêu quý xưa nay |chưa chi anh đã thấy mình đến cái chốn công viên hiệu quý xưa nay
tts_lines_part_15_line_00886.wav(66.66666666666666%)|bẩm|ba 
tts_lines_part_15_line_00887.wav(22.22222222222222%)|con trả nợ cậu và cảm ơn cậu lần nữa|con trả nợ cậu và cảm ơn cậu là nữa 
tts_lines_part_15_line_00900.wav(25.0%)|tùy bà lựa chọn hộ đấy cứ cái nào sẽ trúng mười vạn thì bà xé cho tôi |tùy bà lựa chọn hộ đấy cứ cái nào sẽ trúng mười vạn thì bạn sẽ cho tôi
tts_lines_part_15_line_00915.wav(92.5%)|phải thế không họa chăng sự đời mới có nghĩa lý chứ |phải thế không phải trong sự đời mới có nghĩa lý chứ
tts_lines_part_15_line_00921.wav(56.52173913043478%)|nhưng về đến nhà anh không được ngồi ngay vào bàn viết thư|nhưng về đến nhà anh không được mời ngay vào bàn viết thư 
tts_lines_part_15_line_00923.wav(63.51351351351351%)|anh phải tiếp chuyện ông ta vì gia đình anh để mặc ông ngồi ôm gối trên một cái phản gần nhà bếp|anh phải tiếp chuyện ông ta vì gia đình anh để mà ông mới ôm gối trên một cái phản gần nhà bếp  
tts_lines_part_15_line_00934.wav(125.0%)|phúc còn nhớ rằng xưa kia mặt mũi ông đối cũng dễ coi sáng sủa nếu không gọi là phương phi hẳn hoi|cô còn nhớ rằng xưa kia mặt mũi ông đối cũng dễ coi sáng sủa nếu không gọi là phương phi hẳn hoi  
tts_lines_part_15_line_00935.wav(95.65217391304348%)|xưa kia thỉnh thoảng ông ra tỉnh với cái áo the mới và đôi giầy gia định đóng đanh tre cài ở cái thắt lưng mầu hoa hiên|sự kia thỉnh thoảng ông gia đình với cái áo the mới và đôi dày gia đình đóng đanh tre cài ở cái thắt lưng mầu hoa hiên 
tts_lines_part_15_line_00941.wav(80.82191780821918%)|từ khi ông đối mặc áo rách ông ra tỉnh với em ít hơn cũng như từ đấy phúc cũng ít được dịp về quê|từ khi ông đối mặc áo rách ông gia đình với em ít hơn cũng như từ đấy phúc cũng ít được gì về quê
tts_lines_part_15_line_00949.wav(36.26373626373626%)|phúc ngạc nhiên ở chỗ bố mẹ mình sao lại có thể để một mình ông anh họ đồng tông ngồi suông một mình dưới bếp thế được|phúc ngạc nhiên ở chỗ bố mẹ mình sao lại có thể để một mình ông anh họ đồng tông mỗi cô một mình dưới bếp thế được    
tts_lines_part_15_line_00956.wav(44.18604651162791%)|một lần nữa anh lại thấy anh cần phải giầu vì nếu anh chỉ cứ thế mãi thì mặc dầu những cảm tình của anh với ông đối là tha thiết đến bậc nào đi nữa anh ta kỳ chung cũng vẫn chỉ là ích kỷ ấy nếu không biết che đậy cái ích kỷ ấy bằng những lời an ủi hão thương miệng thương môi suông|một lần nữa anh lại thấy anh cần phải giầu vì nếu anh chỉ cứ thế mãi thì mặc dầu những cảm tình của anh với ông đối là tha thiết đến bậc nào đi nữa anh ta kỳ chung cũng vẫn chỉ lại kỷ ấy nếu không biết che đậy cái kỷ ấy bằng những lời an ủi hão thương nghiện thương môi suông      
tts_lines_part_15_line_00977.wav(67.3076923076923%)|dạ thằng tẹo nó đi chăn trâu thuê chẳng may bị con trâu nó nguẩy đầu đuổi ruồi thành thử cái sừng nó đâm nát cả một bên vế đùi thằng bé|dạ thằng tẹo nó đi chăn trâu thuê chẳng may bị con châu nó mở đầu đuổi ruồi thành thử cái sừng nó đâm nát cả một bên vế đùi thằng bé   
tts_lines_part_15_line_00980.wav(50.0%)|chết|thế 
tts_lines_part_15_line_00988.wav(100.0%)|bẩm vâng|bà vân  
tts_lines_part_15_line_01020.wav(111.11111111111111%)|yên trí rồi anh lại hỏi |lên chín rồi anh lại hỏi
tts_lines_part_15_line_01027.wav(25.0%)|ông đối trù trừ hồi lâu rồi đáp|ông đối chủ chỉ hồi lâu rồi đáp
tts_lines_part_15_line_01028.wav(126.66666666666666%)|sợ phiền ông bà quá |sau phiền ông bà quá
tts_lines_part_15_line_01048.wav(117.3913043478261%)|chợt thấy có tiếng mẹ gọi anh|cho thấy có tiếng mẹ gọi anh 
tts_lines_part_15_line_01049.wav(100.0%)|phúc |không
tts_lines_part_15_line_01050.wav(100.0%)|phúc |không
tts_lines_part_15_line_01054.wav(37.5%)|ấy để tôi xuống đã bác hãy cứ ngồi yên đây|ấy để tôi xuống đã bác hãy cứ mỗi nên đây 
tts_lines_part_15_line_01070.wav(140.0%)|ôi chà |tôi trả
/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_15_line_01091.wav
tts_lines_part_15_line_01094.wav(45.45454545454545%)|bẩm lạy thím ạ|bẩm lại thế mà
tts_lines_part_15_line_01101.wav(57.89473684210527%)|các cháu có ngoan không|các cháu có ăn không   
tts_lines_part_15_line_01112.wav(51.35135135135135%)|nhưng ngực anh mỗi lúc một phập phồng mạnh hơn|nhưng ngực anh mỗi lúc một hộ khẩu mạnh hơn   
tts_lines_part_15_line_01118.wav(93.33333333333333%)|nếu chúng tôi chịu khó đăng bài của ông hoặc khen ngợi ông ấy là muốn khuyến khích ông thế thôi|nếu chúng tôi chịu khó đan bài của ông hoặc khen ngợi ông ấy là muốn khuyến khích ông thế thôi 
tts_lines_part_15_line_01121.wav(114.28571428571428%)|kính thư|anh thư 
tts_lines_part_15_line_01139.wav(104.34782608695652%)|chương năm ngày đầu trúng số|thứ năm này đầu chúng xấu   
tts_lines_part_15_line_01147.wav(90.0%)|y như một người đứng trước một sự quái gở nó đã xảy ra khi tưởng rằng chẳng có đời nào nó lại xảy ra được  |y như một người đứng trước một sự của anh ờ nó đã xảy ra khi tưởng rằng chẳng có đời nào nó lại xảy ra được
tts_lines_part_15_line_01164.wav(133.33333333333331%)|tuy biết lo thế là lẩn thẩn phúc cũng cứ lo  |người biết lo thế là lẩn thẩn phúc cũng cứ lo
tts_lines_part_15_line_01167.wav(86.93181818181817%)|anh nhịn thở để mong trấn tĩnh cái linh hồn của anh lúc ấy nó lao đao xao xuyến như một trận bão anh nhìn trước nhìn sau lo sợ có ai nhìn thấy mình chăng rồi lại anh cất cái tính mệnh của anh vào hộp bỏ hộp vào tủ khóa tủ hai vòng|anh nhịn thở để mong trấn tĩnh cái linh hồn của anh lúc ấy nó lao đao xao sớm như một trận bão anh nhìn trước nhìn sau lo sợ có ai nhìn thấy mình chăng rồi lại anh cất cái tính mệnh của anh vào hộp bỏ hộp vào tủ khóa tủ hai vòng  
tts_lines_part_15_line_01168.wav(42.42424242424242%)|cuối cùng anh dấu cái chìa khóa tủ vào một chỗ rất kín đáo dám chắc không ai sờ mó tới |cuối cùng anh dấu cái chìa khóa tủ vào một chỗ rất kín đáo giảm chắc không ai sờ mó tới
tts_lines_part_15_line_01197.wav(42.857142857142854%)|mười vạn|mười ba 
tts_lines_part_15_line_01203.wav(113.51351351351352%)|phúc ngồi lên kiếm một mảnh giấy và cái bút chì|phúc mới lên kiếm một mảnh giấy và cái bút chì 
tts_lines_part_15_line_01210.wav(20.0%)|hai trăm chứ |hai trăm chín
tts_lines_part_15_line_01221.wav(42.22222222222222%)|thì chúng sẽ dài mồm ra mà chửi mình là ích kỷ là đểu là chó|thì chúng sẽ dài mồm ra mà chửi mình lại kỷ là đểu là chó   
tts_lines_part_15_line_01237.wav(33.33333333333333%)|ta mà đã là giàu|ta mà đã là dầu 
tts_lines_part_15_line_01238.wav(118.75%)|giàu giàu giàu giàu|dâu dầu dầu dầu    
tts_lines_part_15_line_01246.wav(75.0%)|đừng bặng nhặng vội|đừng bản nhận vội  
tts_lines_part_15_line_01248.wav(57.71812080536913%)|anh chỉ nhận ra rằng sở dĩ anh đã nghĩ ra đến thế là vì anh khôn khoan thâm trầm biết nghĩ xa xôi không rực của không có thói khả ố của bọn giàu lòi khoe của cậy tiền lố lăng nhặng xị thế mà thôi|anh chỉ nhận ra rằng sở dĩ anh đã nghĩ ra đến thế là vì anh khôn khoan thâm trầm biết nghĩ xa xôi không dự cô không có thói khảo của bọn giầu lại khoe của cải tiến lô lăng nhạc sĩ thế mà thôi    
tts_lines_part_15_line_01252.wav(132.63888888888889%)|ắt hẳn cái số phận anh phải là một thứ số phận quý hóa ghê gớm ắt là mồ mả tổ tiên kết phát chi đây hoặc là vì anh bụng dạ cao thượng hơn đời thì là hoàng thiên bất phụ hảo tâm nhân thế thôi |tắt hẳn cái số phận anh phải là một thứ số phận quý hóa ghê gớm ắt là mồ mả tổ tiên kết phát chi đây hoặc là vì anh bụng dạ cao thượng hơn đời thì là hoàng thiên bất phụ hảo tâm nhân thế thôi
tts_lines_part_15_line_01267.wav(106.9767441860465%)|những quân kẻ cướp có súng lục ngày nay chẳng thiếu gì|những con kẻ cứ có súng lục ngày nay chẳng thiếu gì   
tts_lines_part_15_line_01275.wav(47.77777777777778%)|đời bây giờ có cái báo chí rầm rĩ và tọc mạch rồi đã chẳng giấu được thì thà cứ khoe luôn ngay đi để cho nó ầm ĩ một thể|đời bây giờ có cái báo chí giảm dĩ và tọc mạch rồi đã thảm giấu được thì thà cứ khoe luôn ngay đi để cho nó ở ý một thể 
tts_lines_part_15_line_01285.wav(21.794871794871796%)|phải những sự thực xưa nay vẫn đã hiển nhiên nếu mãi đến nay anh mới biết ấy là bởi xưa kia anh vẫn mù|phải những sự thực xưa nay vẫn đã hiển nhiên nếu mãi đến nay anh mới biết ấy là bởi sự kỳ anh vẫn mù  
tts_lines_part_15_line_01301.wav(114.36170212765957%)|rồi ông cụ ngồi ngay xuống một cái ghế kê gần sập thấp hơn sập nữa không hiểu rằng sẽ có một đại sự cụ bà bước ra đủng đỉnh như cái chĩnh trôi sông cụ cũng ngạc nhiên về chỗ ngồi vắt vẻo của con và cũng im lặng ngồi xuống ghế y như cụ ông mà thôi|rồi ông cụ mới nay số một cái ghế kê gần sập thấp hơn sập nữa không hiểu rằng sẽ có một đại sự cụ bà bước ra đủng đỉnh như cái chĩnh trôi sông cụ cũng ngạc nhiên về chỗ ngồi vắt vẻo của con và cũng như lặng ngồi xuống ghế y như cụ ông mà thôi    
tts_lines_part_15_line_01314.wav(128.9855072463768%)|vả lại xưa thấy nói trúng số độc đắc toàn là những người nam kỳ và cao miên ông cụ tin vững ngay rằng đó là một sự đùa nhả của nhà nước bịa đặt ra thế để lừa bịp lũ dân ngu bắc kỳ chứ không dễ ai lại trúng được số mười vạn cả mặc dầu ông cụ vẫn là viên chức trung thành lắm|và lại cứ thấy nói trúng số độc đắc toàn là những người nam kỳ và cao miên ông cụ tin vững ngay rằng đó là một sự đùa nhả của nhà nước bịa đặt ra thế để lừa bịp lũ dân ngu bắc kỳ chứ không dễ ai lại trúng được số mười vạn cả mặc dầu ông cụ vẫn là viên chức trung thành lắm 
tts_lines_part_15_line_01322.wav(60.0%)|cái gì|tại vì
/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_15_line_01323.wav
tts_lines_part_15_line_01355.wav(30.0%)|cũng chả mấy |cũng chả mình
tts_lines_part_15_line_01367.wav(126.47058823529412%)|giời phật không cho có khi nào lại thế được|rồi phận không cho có khi nào lại thế được 
tts_lines_part_15_line_01372.wav(106.06060606060606%)|đeo cái danh ông phán to bao nhiêu bố mẹ càng giả nợ đẫy bấy nhiêu càng khổ bấy nhiêu|đeo cái danh ôn phán to bao nhiêu bố mẹ càng giả nợ đẫy bấy nhiêu càng khổ bấy nhiêu 
tts_lines_part_15_line_01391.wav(100.0%)|bà ấy à|bởi    
tts_lines_part_15_line_01396.wav(150.0%)|ừ ừ |anh 
tts_lines_part_15_line_01402.wav(116.26016260162602%)|trông thấy tấn hài kịch ấy lại sắp có thêm một vai trò chính bây giờ đây này phúc cười nhạt và đến lúc đã thấy cái cần phải can bố mẹ đi kẻo bị vợ mình khinh cho |trông thấy tấn hài thì trái lại sắp có thêm một vai trò chính bây giờ đây này phúc cười nhạt và đến lúc đã thấy cái cần phải can bố mẹ đi kẻo bị vợ mình khinh cho
tts_lines_part_15_line_01417.wav(101.75438596491229%)|phúc nói nghiến cả bố lẫn mẹ bằng cách bảo người vợ vừa chạy vào đứng đấy|phúc nói đến cả bố lẫn mẹ bằng cách bảo người vợ vừa chạy vào đứng ấy    
/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_15_line_01421.wav
tts_lines_part_15_line_01438.wav(46.666666666666664%)|cụ phán ông bĩu môi |cụ phán ông biểu môi
tts_lines_part_15_line_01474.wav(29.92125984251969%)|nhất là việc làm cho từ thiên hạ đến nhà nước công nhận rằng mình trúng số lại hệ trọng hơn vì về sau khi ai cũng biết rõ cái tin ấy rồi thì chẳng có sự gì phải lo lắm |nhất là việc làm cho từ thiên hạ đến nhà nước công nhận rằng mình trúng số lại hệ trọng hơn vì về sau khi ai cũng biết rõ cái tin anh rồi thì chẳng có sự gì phải lo lắm
tts_lines_part_15_line_01481.wav(50.0%)|nhịa|như 
tts_lines_part_15_line_01485.wav(100.0%)|nhịa |nghĩa
tts_lines_part_15_line_01497.wav(53.84615384615385%)|chúng bây ra đây |chúng bây giờ đây
tts_lines_part_15_line_01511.wav(112.5%)|nhịa vâng|dạ vâng  
tts_lines_part_15_line_01513.wav(112.5%)|nhịa vâng|dạ vâng  
tts_lines_part_15_line_01531.wav(49.45054945054945%)|vậy xin thông tin ngài biết vì tôi cho rằng sự này cũng có thể hữu ích cho ngài về việc quý báo thông tin cho quốc dân|vậy xin thông tin ngài biết vì tôi cho rằng sự này cũng có thể hữu cho ngài về việc quý báo thông tin cho quốc dân    
tts_lines_part_15_line_01541.wav(101.20481927710843%)|trông thấy cái thái độ khúm núm ấy anh lộn ruột khó chịu cực điểm có thể vì vậy mà cư xử như với người ngoài|trông thấy cái thái độ của nữ ấy anh lộn ruột khó chịu cực điểm có thể vì vậy mà cư xử như với người mà     
tts_lines_part_15_line_01545.wav(50.0%)|nhịa|như 
tts_lines_part_15_line_01547.wav(40.55944055944056%)|trong nhà lúc ấy còn lại năm người hai người chủ thỉnh thoảng đưa mắt ra dò xét ý tứ hai đứa đầy tớ và hai đứa đầy tớ thì thỉnh thoảng vì chúng chưa hiểu gì cả cũng lấm lét nhìn trộm chủ|trong nhà lúc ấy còn lại năm người hai người chủ thỉnh thoảng đưa mắt ra dò xét ý tứ hai đứa đầy tớ và hai đứa đầy tớ thì thỉnh hoảng vì chúng chưa hiểu gì cả cũng lấm lét nhìn trộm chủ 
tts_lines_part_15_line_01549.wav(106.06060606060606%)|trong lúc ấy phúc trầm ngâm xếp đặt trong trí cái việc hệ trọng là việc đi lĩnh tiền|trong lúc ấy cô trầm ngâm xếp đặt trong trí cái việc hệ trọng là việc đi lĩnh tiền  
tts_lines_part_15_line_01571.wav(50.0%)|chết|thế 
tts_lines_part_15_line_01574.wav(59.25925925925925%)|cô đức chạy xộc vào thất thanh hỏi |cô đức chạy sâu vào thích thanh hỏi
tts_lines_part_15_line_01578.wav(42.857142857142854%)|phỉ thui|thì thôi
tts_lines_part_15_line_01579.wav(25.925925925925924%)|vả vào mồm ấy làm gì mà ngậu lên thế|và vào mồm ấy làm gì ban đầu lên thế
tts_lines_part_15_line_01585.wav(95.0%)|ừ thế là ngoan có hiếu đấy  |ừ thế là món ăn có hiếu đánh
tts_lines_part_15_line_01595.wav(129.41176470588235%)|tuy vậy cô cũng hỏi mẹ|vì vậy cô cũng hỏi mẹ 
tts_lines_part_15_line_01598.wav(21.428571428571427%)|à thôi nói dối đấy |à thôi nói dối đánh
tts_lines_part_15_line_01602.wav(37.5%)|giời ơi thế thì kẻng quá đi mất    |giời ơi thế thì kẻng quá hai đi mất
tts_lines_part_15_line_01603.wav(76.53061224489795%)|rồi quay lại với phúc cô cười ngây thơ và điểm xuyết cái vui ấy bằng cách khẽ thụi vào vai người anh mà cô vẫn lần khần xưa nay|rồi quay lại với phúc cô cười ngây thơ và điểm sử cái vui ấy bằng cách khẽ thụi vào vai người anh mà cô vẫn lần khần xưa nay   
tts_lines_part_15_line_01605.wav(71.42857142857143%)|đừng láo|mình là 
tts_lines_part_15_line_01606.wav(21.428571428571427%)|cô em trước thì còn ngạc nhiên sau thì sợ sợ quá đi mất    |cô em trước thì còn ngạc nhiên sau thì sợ sợ quá hai đi mất
tts_lines_part_15_line_01607.wav(100.0%)|phúc trêu già hơn nữa |phúc chiều giả hơn nữa
tts_lines_part_15_line_01612.wav(29.03225806451613%)|thương tình phúc khẽ vỗ vai em thân yêu|chương trình khô khẽ vỗ vai em thân yêu
tts_lines_part_15_line_01614.wav(91.42857142857143%)|nín đi chóng ngoan anh yêu chứ anh thù làm gì|nín đi chóng hoa anh yêu chứ anh thù làm gì  
tts_lines_part_15_line_01616.wav(108.7962962962963%)|nói xong phúc đưa mắt nhìn trộm mẹ và vợ và biết rằng lời lẽ ấy mà té ra một giải thoát phúc đức cho hai tấm linh hồn băn khoăn đau khổ tha cho người ấy được trút bỏ từ trên vai xuống hàng nghìn tấn trọng lực hối hận mẹ anh và vợ anh cả hai vừa khẽ thở dài mặt mũi đã bắt đầu tươi lên|nói xong phúc đưa mắt nhìn cho mẹ và vợ và biết rằng lời lẽ ấy mà té ra một giải thoát phúc đức cho hai tấm linh hồn băn khoăn đau khổ tha cho người ấy được trút bỏ từ trên vai số hàng nghìn tấn trọng lực hối hận mẹ anh và vợ anh cả hai vừa khẽ thở dài mặt mũi đã bắt đầu tươi lên    
tts_lines_part_15_line_01626.wav(97.9020979020979%)|anh nhớ ngay đến một ý kiến ngông nghêng lúc chỉ mới mơ mộng trúng số vào bữa đi hát che tàn để mà cười một tiếng thì hàng vạn người được sung sướng cau mặt một cái thì phải có đứa tự tử|anh nhớ ngay đến một ý kiến ngông nên lúc chỉ mới mơ mộng trúng số vào bữa đi hát che tàn để mà cười một tiếng thì hàng vạn người được sung sướng cau mặt một cái thì phải có đứa tự tử   
tts_lines_part_15_line_01635.wav(22.404371584699454%)|ngay lập tức bà mẹ cởi hào bao lấy ra một đồng bạc số tiền đối với bà thì có giá trị rất lớn vì ngoài những sự chi tiết thiết dụng thì phải có người họ hàng nào chết bà mới chịu dễ dàng đưa ra để phúng nghĩa là tiêu mà không gắt mắng đầy tớ|ngay lập tức bà mẹ cởi hào bao lấy ra một đồng bạc số tiền đối với bà thì có giá trị rất lớn vì ngoài những sự chi tiết thiết dụng thì phải có người họ hàng nào chết bà mới chịu dễ dàng đưa ra để phô nghĩa là tiêu mà không gắt mắng đầy tớ  
tts_lines_part_15_line_01642.wav(61.111111111111114%)|một chục nem chua một chục chả nhân cua bể nhé|một chục nem chua một chủ trả nhân cua bể nhé 
tts_lines_part_15_line_01649.wav(65.4320987654321%)|được lắm ta phải trị tội cái đầu óc khốn nạn cái bụng dạ tiểu nhân cái tư cách bất hiếu chi tử ấy mới được |được lắm ta phải trị tội cái đầu óc khốn nạn cái bụng giả tiểu nhân cái tư cách bất hiếu chi tử ấy mới được
tts_lines_part_15_line_01675.wav(98.18181818181819%)|mẹ cứ ngồi đây em nữa cứ tự nhiên vì ít khi được cái may tiếp kiến các nhà báo thì bây giờ nên để ý mà học lấy cái tài ăn nói của các nhà ngôn luận|mẹ cứ ngồi đây em nữa cứ tự nhiên mỹ khi được cái may tiếp kiến các nhà báo thì bây giờ nên để ý mà học lấy cái tài ăn nói của các nhà ngôn luận   
