VIVOSSPK01_R001|x_ɛ_k_5b s_a_n_6
VIVOSSPK19_002|d_ɤ̆_w_2 t_ɯ_1 c_ɯ_ŋ_5 x_w_a_n_5 m_a_2 k_ɯ_5 d_eo_3 k_ă_j_2 z_ɯə_3 d_ɯə_ŋ_2
VIVOSSPK19_003|k_uə_4 k_ɔ_n_1 ŋ_ɯə_j_2 t_a_w_6 z_a_1
VIVOSSPK19_004|k_ɔ_n_2 h_ɤ_n_1 f_a_j_4 k_a_p_6b k_a_j_5 tʰ_ɯ_5 l_o_m_1 k_o_m_1
VIVOSSPK19_005|b_ɛ_ŋ_4 t_ɯə_ŋ_5 h_e_t_5b b_iə_t_5b
VIVOSSPK19_006|d_a_3 ɲ_ɛ_ŋ_1 c_ɔ_ŋ͡m_5 k_ɛ_k_5b l_i_1 l_w_a_j_2 d_o_ŋ͡m_6 v_ɤ̆_t_6b n_ă_j_2
VIVOSSPK19_007|c_o_ŋ͡m_5 tʰ_a_m_1 ɲ_u_ŋ_3 t_w_a_n_2 k_ɤ̆_w_2 c_ɔ_ŋ͡m_1 ɲ_iə_w_2 n_ă_m_1 t_ɤ_j_5
VIVOSSPK19_008|c_i_4 d_e_4 h_i_t_5b tʰ_ɤ_4 tʰ_ɤ̆_t_6b k_i_2 l_a_6
VIVOSSPK19_009|c_ɔ_ŋ͡m_1 z_ɛ_ŋ_1 s_ɛ_k_5b ɲ_ɯ_ŋ_3 m_o_j_5 kw_a_n_1 t_ɤ̆_m_1 k_uə_4 b_a_n_6
VIVOSSPK19_010|ŋ_o_n_1 ŋ_ɯ_3 s_ɯ_4 z_u_ŋ_6 c_ɔ_ŋ͡m_1 z_a_ŋ_4 z_ă_j_6 v_a_2 h_ɔ_k͡p_6b t_ɤ̆_p_6b t_w_a_n_2 x_w_a_5
VIVOSSPK19_011|d_ɤ_n_1 k_ɯ_4 ɲ_ɯ_1 l_i_5 tʰ_u_j_6 ɛ_ŋ_1 d_a_w_2
VIVOSSPK19_012|z_ɔ_1 c_ɔ_ŋ͡m_6 ŋ_iə_3 ɣ_i_1 t_ɯ_2 h_iə_p_6b m_o_t_6b
VIVOSSPK19_013|c_o_6 ɲ_ă_w_1 l_a_m_2 ɣ_i_2 tʰ_e_5
VIVOSSPK19_014|v_iə_k_6b ŋ_ɯə_j_2 z_ɤ̆_n_1 f_a_j_4 ɲ_ɤ̆_n_6 kw_iɛ_t_5b d_i_ŋ_6
VIVOSSPK19_015|kw_a_1 v_iə_k_6b h_ɤ_p_6b t_a_k_5b t_w_a_n_2 f_ɤ̆_n_2 v_ɤ_j_5 ŋ_ɯə_j_2 l_a_m_2 d_iə_3 l_ɤ̆_w_6
VIVOSSPK19_016|b_ă_j_2 k_ɤ_m_1 z_ɯə_w_6 l_e_n_1 tʰ_o_j_2
VIVOSSPK19_017|v_a_2 c_ɯə_3 m_ă_t_5b b_i_6 s_ɯ_ŋ_1 d_ɔ_4 z_ɔ_1 ɲ_iə_t_6b ɲ_ă_m_6 m_ă_t_5b
VIVOSSPK19_018|tʰ_e_5 l_a_2 k_uə_k_6b h_ɔ_p_6b t_w_a_n_2 h_ɛ_m_4 d_ɯə_k_6b t_o_4 c_ɯ_k_5b ŋ_ă_j_1 l_ɤ̆_p_6b t_ɯ_k_5b
VIVOSSPK19_019|ɛ_ŋ_1 c_i_4 b_iə_t_5b d_ɤ̆_j_4 c_iə_k_5b s_ɛ_1 d_a_p_6b tʰ_o_2 l_e_n_1 m_iə_t_6b z_ɯ_ŋ_2 f_ɯə_k_5b h_a_2
VIVOSSPK19_020|x_u_1 z_ɤ̆_n_1 k_ɯ_1 n_ă_j_2 l_a_2 n_ɤ_j_1 ŋ_eo_2 ɲ_ɤ̆_t_5b ɲ_i_2 tʰ_i_6 c_ɤ̆_n_5 s_w_ɤ̆_n_1 l_o_k͡p_6b
VIVOSSPK19_021|ɲ_ɯ_ŋ_3 c_uə_j_3 s_iə_w_1 tʰ_i_6 l_ɤ_n_5 k_uə_4 z_w_ɛ_ŋ_1 ŋ_iə_p_6b c_ɔ_ŋ͡m_1 n_ɯə_k_5b
VIVOSSPK19_022|l_a_2 f_a_j_4 z_a_1 ŋ_o_j_2 ɤ_4 ɣ_ɔ_k͡p_5b c_ɤ_6 d_e_n_5 t_o_j_5 m_i_t_6b m_ɤ_j_5 v_e_2
VIVOSSPK19_023|k_a_k_5b b_a_k_5b s_i_3 d_a_3 k_e_t_5b l_w_ɤ̆_n_6
VIVOSSPK19_024|k_e_4 v_ɛ_ŋ_1 v_ɛ_k_5b ɲ_ɯ_ŋ_3 f_u_6 t_u_ŋ_2 t_o_t_5b l_a_2 k_uə_4 n_ɯə_k_5b n_a_w_2
VIVOSSPK19_025|m_o_t_6b s_o_5 t_w_iə_n_5 d_ɯə_ŋ_2 z_a_w_1 tʰ_o_ŋ͡m_1 b_i_6 s_a_t_6b l_ɤ_4 ɣ_ɤ̆_j_1 ɛ_k_5b t_ă_k_5b
VIVOSSPK19_026|s_e_p_5b d_ɤ̆_j_2 ɲ_ɯ_ŋ_3 h_i_ŋ_2 ɛ_ŋ_4
VIVOSSPK19_027|z_o_j_2 d_ɤ̆_p_6b l_ɤ̆_j_5 k_a_j_5 tʰ_ɯ_5 c_ă_ŋ_1 c_ă_ŋ_5 b_eo_5 ŋ_ɤ̆_j_6 b_e_n_1 c_ɔ_ŋ͡m_1
VIVOSSPK19_028|d_iə_w_2 d_ɔ_5 x_iə_n_5 b_a_n_6 c_ɤ_4 tʰ_ɛ_ŋ_2 ŋ_ɯə_j_2 h_ɤ_m_6 h_i_ŋ_3
VIVOSSPK19_029|k_u_ŋ_3 b_ɤ_j_4 kw_a_5 m_uə_n_6 m_a_ŋ_2
VIVOSSPK19_030|t_w_i_1 ɲ_iə_n_1 c_ɯə_1 z_ɔ_3 l_a_2 x_i_1 n_a_w_2
VIVOSSPK19_031|ɣ_ă_p_6b h_o_m_1 d_a_ŋ_1 t_i_2 t_u_m_3 b_a_m_5 m_o_ŋ͡m_1 c_ɤ̆_w_1 tʰ_i_2 k_o_1 v_e_2 ŋ_a_ŋ_1
VIVOSSPK19_032|t_o_j_1 s_ɛ_3 x_o_ŋ͡m_1 l_a_m_2 c_ɔ_1 b_a_n_6 f_a_j_4 tʰ_ɤ̆_t_5b v_ɔ_ŋ͡m_6
VIVOSSPK19_033|t_o_j_1 x_o_ŋ͡m_1 tʰ_e_4 t_i_n_1 d_ɯə_k_6b v_a_w_2 m_ă_t_5b m_i_ŋ_2 x_i_1 ɲ_i_n_2 tʰ_ɤ̆_j_5
VIVOSSPK19_034|z_a_1 t_ɤ_j_5 m_ɤ̆_t_5b n_ɯə_4 ŋ_ă_j_2
VIVOSSPK19_035|x_u_5 b_a_n_6 b_ɛ_2 s_ă_w_1 z_ɤ_2 l_a_m_2 v_iə_k_6b
VIVOSSPK19_036|c_iə_m_5 d_ɯə_k_6b s_ɯ_6 u_ŋ_4 h_o_6 ɣ_ɤ̆_n_2 ɲ_ɯ_1 t_w_iə_t_6b d_o_j_5
VIVOSSPK19_037|b_ɛ_ŋ_5 c_ɯ_ŋ_1 v_uə_ŋ_1
VIVOSSPK19_038|o_ŋ͡m_1 f_e_ŋ_6 b_ă_ŋ_2 s_ɯ_5
VIVOSSPK19_039|ɲ_ɯ_ŋ_1 v_iə_k_6b d_ɛ_ŋ_5 z_a_5 n_ă_ŋ_1 l_ɯ_k_6b tʰ_ɯ_k_6b h_iə_n_6 c_i_ŋ_5 tʰ_ɯ_k_5b
VIVOSSPK19_040|m_uə_2 c_ɔ_ŋ͡m_1 s_ɛ_ŋ_1 c_ɯə_1 l_ɤ̆_m_5 z_ɔ_t_6b m_ɯ_k_6b d_ɤ_j_2
VIVOSSPK19_041|z_ɤ̆_n_2 l_e_n_1 ɣ_ă_j_5 z_o_j_2 l_e_n_1 d_i_ŋ_4 d_ɤ̆_w_2
VIVOSSPK19_042|tʰ_ɯə_ŋ_2 tʰ_i_2 t_o_j_1 l_uə_n_1 l_a_2 c_ɤ_6 tʰ_u_4 d_ă_k_5b l_ɯ_k_6b c_ɔ_1 m_a_6
VIVOSSPK19_043|v_a_2 z_a_w_1 l_ɯ_w_1 k_u_ŋ_2 k_a_1 s_i_3 l_e_1 w_iə_n_1 ɲ_i_1
VIVOSSPK19_044|kw_i_4 z_iə_p_5b
VIVOSSPK19_045|d_e_m_1 s_uə_ŋ_5 z_ɤ̆_n_2
VIVOSSPK19_046|s_ă_w_1 x_i_1 z_iə_n_3 z_a_1 z_ɤ̆_m_2 z_o_6 c_ɔ_ŋ͡m_1 ɣ_ɤ̆_n_2 m_o_t_6b n_ă_m_1
VIVOSSPK19_047|t_i_ŋ_2 h_i_ŋ_2 ŋ_o_6 d_o_k͡p_6b v_ɤ_j_5 k_ɤ_1 kw_a_n_1 i_1 t_e_5
VIVOSSPK19_048|m_ɤ̆_j_5 h_o_m_1 n_ă_j_1 t_o_j_1 k_u_ŋ_3 d_a_ŋ_1 d_e_n_5 k_a_k_5b c_a_j_6 ɯə_m_1 k_ɤ̆_j_1 t_a_j_6 d_a_n_1 m_ɛ_k_6b
VIVOSSPK19_049|z_ɯə_3 m_o_t_6b b_a_j_3 h_w_a_1 k_u_k_5b d_a_j_6 d_w_a_5 h_a_ŋ_2 c_ă_m_1 c_ɤ̆_w_6
VIVOSSPK19_050|ŋ_e_6 s_i_3 ɯ_w_1 t_u_5 ɛ_ŋ_1 z_u_ŋ_3 ŋ_ă_j_1 c_ɔ_ŋ͡m_1 k_ɛ_ŋ_4 d_ɤ̆_w_2 v_ɤ_4 k_i_k_6b
VIVOSSPK19_051|n_e_n_1 v_ɤ_j_5 tʰ_o_ŋ͡m_1 t_i_n_1 n_ă_j_2
VIVOSSPK19_052|f_a_j_4 kw_a_1 z_ɤ̆_t_5b ɲ_iə_w_2 n_u_j_5 d_a_5
VIVOSSPK19_053|l_i_ŋ_3 v_ɯ_k_6b x_i_5 ɲ_a_k_6b
VIVOSSPK19_054|c_ă_ŋ_4 a_j_1 l_a_m_2 ă_n_1 ɲ_w_e_1 ɲ_w_e_t_5b ɲ_ɯ_1 k_a_j_5 o_ŋ͡m_1 tʰ_ɤ̆_w_2 n_ă_j_2
VIVOSSPK19_055|l_a_2 n_ɯə_4 m_ɛ_t_5b d_ɤ̆_t_5b c_ɤ_4 l_e_n_1 v_a_2 n_ɛ_n_5 tʰ_ɤ̆_t_6b c_ă_t_6b
VIVOSSPK19_056|m_ɔ_j_6 ŋ_ɯə_j_2 ɣ_ɔ_j_6 ɛ_m_1 b_ɛ_5 t_ɔ_k͡p_5b t_ɛ_m_5 l_a_2 c_ɤ̆_n_1 m_e_m_2
VIVOSSPK19_057|k_ɔ_5 m_ă_t_6b t_a_j_6 s_a_3 d_iə_n_6 f_ɔ_ŋ͡m_1
VIVOSSPK19_058|m_ɯə_ŋ_2 m_a_n_5
VIVOSSPK19_059|tʰ_ă_ŋ_2 c_ɯə_ŋ_2 d_i_1 c_ɤ_j_1 n_ɯə_4 d_e_m_1 m_ɤ_j_5 m_ɔ_2
VIVOSSPK19_060|t_ɯ_2 k_a_ŋ_4 k_a_5 l_i_5 s_ɤ_n_1 v_a_w_2 d_ɤ̆_t_5b l_iə_n_2
VIVOSSPK19_061|b_ɔ_n_6 ɲ_ɔ_k͡p_5b c_ɔ_ŋ͡m_1 s_ɔ_m_5 d_ă_t_6b c_ɔ_1 c_u_ŋ_5 t_o_j_1 b_iə_t_6b z_ɛ_ŋ_1 b_o_6 b_a_1 s_ɔ_1 l_ɛ_1
VIVOSSPK19_062|t_o_j_1 l_uə_n_1 k_o_5 c_ɛ_ŋ_5 ɲ_ɯ_ŋ_3 n_ɤ_j_1 k_a_w_1 n_ɛu_5 k_ɔ_5 tʰ_e_4
VIVOSSPK19_063|h_ă_j_3 tʰ_ɯ_4 m_o_t_6b l_ɤ̆_n_2 f_u_1 s_ɯə_ŋ_5 f_u_6 t_u_j_2
VIVOSSPK19_064|tʰ_i_2 l_ɤ̆_t_6b d_ɤ̆_t_6b b_iə_w_4 v_ɤ_6 c_ɔ_1 d_i_1 m_uə_1 k_ɔ_n_1 v_a_k_6b d_o_ŋ͡m_2
VIVOSSPK19_065|k_iə_w_4 n_ɯə_4 k_i_n_5 n_ɯə_4 h_ɤ_4
VIVOSSPK19_066|d_e_4 k_ɔ_5 tʰ_e_4 t_iə_p_5b t_u_k_6b h_ɔ_k͡p_6b t_ɤ̆_p_6b
VIVOSSPK19_067|m_o_t_6b v_i_6 kw_a_n_1 ŋ_o_j_2 s_ă_w_1 c_o_ŋ͡m_5
VIVOSSPK19_068|v_ɔ_3 v_ă_n_1 tʰ_ɛ_ŋ_2 tʰ_ɯ_k_6b h_iə_n_6
VIVOSSPK19_069|c_i_6 tʰ_ɛ_ŋ_1 t_w_iə_n_2 c_ɔ_1 b_iə_t_5b
VIVOSSPK19_070|m_ɤ_4 z_o_ŋ͡m_6 f_a_m_6 v_i_1 a_n_1 t_w_a_n_2
VIVOSSPK19_071|h_iə_n_6 c_a_ŋ_6 ɲ_ɯ_1 f_ɤ̆_n_2 d_ɤ̆_w_2 d_a_3 n_ɛu_1
VIVOSSPK19_072|v_a_2 b_ɤ̆_j_1 z_ɤ_2 t_o_j_1 d_a_ŋ_1 ŋ_o_j_2 ɣ_ɔ_3 l_ɛ_k_6b s_ɛ_k_6b
VIVOSSPK19_073|k_a_k_5b b_a_n_6 c_ɯə_ŋ_2 c_w_iə_n_1 b_ɛ_k_6b l_iə_w_1 ɣ_ɔ_j_6 h_ɯ_ŋ_1 l_a_2 k_ɔ_n_1 z_a_j_5 k_a_5 h_o_2 h_ɔ_k͡p_5b l_ɤ_4
VIVOSSPK19_074|h_ă_j_3 ŋ_ɛ_1 c_ɔ_ŋ͡m_1 c_ɔ_ŋ͡m_5 z_ɔ_5 d_e_4 tʰ_ɤ̆_j_5 ɲ_ɯ_ŋ_3 ɯə_k_5b m_ɤ_1 ŋ_ă_j_2 b_ɛ_5 tʰ_ɤ_1
VIVOSSPK19_075|z_ɤ_2 z_a_1 c_ɤ_j_1 k_uə_4 k_ɔ_n_1 t_o_j_1
VIVOSSPK19_076|a_w_5 s_o_ŋ͡m_5 ɯə_t_5b ɲ_ɛ_p_6b ɲ_ɯ_ŋ_1 v_ɤ̆_n_3 l_a_m_2 c_ɔ_2
VIVOSSPK19_077|ă_n_1 ɤ_4 k_ɔ_5 ɲ_ɤ̆_n_1 k_ɔ_5 ŋ_iə_3
VIVOSSPK19_078|k_e_t_5b kw_a_4 d_iə_w_2 c_i_6 k_uə_4 f_ɯə_ŋ_1 f_a_p_5b tʰ_w_iə_n_1 t_ă_k_5b m_ɛ_k_6b
VIVOSSPK19_079|n_ɛu_5 n_ă_ŋ_5 t_o_t_5b
VIVOSSPK19_080|c_u_ŋ_5 t_o_j_1 c_ă_j_6 s_ɛ_1 m_ă_j_5 c_e_n_1 k_ɔ_n_1 d_ɯə_ŋ_2 v_ɔ_ŋ͡m_2 v_eo_2 ɲ_ɯ_1 z_ă_n_5 l_ɯə_n_6
VIVOSSPK19_081|m_i_ŋ_2 s_o_ŋ͡m_5 v_o_1 t_ɯ_1 d_e_n_5 h_o_m_1 n_ă_j_1 v_ɤ_6 f_a_j_4 l_ɔ_1 t_w_a_n_1 t_i_ŋ_5 m_o_j_3 ŋ_ă_j_2
VIVOSSPK19_082|ɣ_ɛ_ŋ_5 kw_a_2 z_ɔ_ŋ͡m_1
VIVOSSPK19_083|v_a_2 d_ɔ_ŋ͡m_1 d_ɯə_1 tʰ_eo_1 z_ɔ_5 c_ɔ_ŋ͡m_1 x_i_1 d_a_m_5 b_a_n_6 c_ɤ_j_1 d_a_5 b_ɛ_ŋ_1
VIVOSSPK19_084|t_o_j_1 d_a_3 f_a_j_4 t_ɤ̆_p_6b l_w_iə_n_6 k_ɤ̆_t_6b l_ɯ_k_6b
VIVOSSPK19_085|d_a_3 ɣ_ɤ̆_j_1 h_a_w_2 h_ɯ_ŋ_5 c_e_n_1 tʰ_i_6 c_ɯə_ŋ_2 c_ɯ_ŋ_5 x_w_a_n_5 c_ɤ̆_w_1 a_5
VIVOSSPK19_086|m_a_2 ɲ_iə_w_2 l_u_k_5b v_ɤ̆_n_3 x_o_ŋ͡m_1 ɣ_ɔ_j_6 d_ɯə_k_6b
VIVOSSPK19_087|t_o_j_1 t_i_n_1 z_ă_ŋ_2 t_i_ŋ_2 tʰ_ɯə_ŋ_1 s_ɯ_6 k_a_m_4 tʰ_o_ŋ͡m_1
VIVOSSPK19_088|b_ɯə_k_5b v_a_w_2 m_o_t_6b m_o_j_5 t_i_ŋ_2
VIVOSSPK19_089|v_ɯə_2 ŋ_ɔ_5 l_ɤ_1 x_ɛ_k_5b kw_a_1 d_ɯə_ŋ_2
VIVOSSPK19_090|m_o_t_6b b_a_w_5 k_a_w_5 c_e_n_1 t_a_p_6b c_i_5 x_w_a_1 h_ɔ_k͡p_6b c_ɔ_1 z_ă_ŋ_2
VIVOSSPK19_091|ɣ_i_1 l_a_j_6 k_ɛ_ŋ_4 f_a_n_4 k_o_ŋ͡m_1 k_uə_4 m_o_t_6b t_w_a_n_5 ŋ_ɯə_j_2 b_i_6 b_a_w_1 v_ɤ̆_j_1
VIVOSSPK19_092|m_ɛ_6 b_ɔ_4 ɲ_a_2 d_i_1 l_a_m_2 tʰ_w_e_1 z_o_j_2 x_o_ŋ͡m_1 tʰ_ɤ̆_j_5 v_e_2 n_ɯə_3
VIVOSSPK19_093|iə_w_1 m_e_n_5 d_ɤ̆_t_5b n_ɯə_k_5b h_ɔ_6 b_iə_t_5b z_ɯə_ŋ_2 n_a_w_2
VIVOSSPK19_094|ɲ_i_n_2 tʰ_o_ŋ͡m_1 b_a_w_5 l_o_j_3
VIVOSSPK19_095|k_ɤ̆_w_2 m_ɔ_ŋ͡m_1 c_ɔ_1 z_w_iə_n_1 l_ɛ_ŋ_2
VIVOSSPK19_096|d_iə_m_4 d_ɤ̆_w_2 t_iə_n_1 c_u_ŋ_5 t_o_j_1 d_e_n_5 l_a_2 k_ɛ_ŋ_5 d_o_ŋ͡m_2 c_u_m_1
VIVOSSPK19_097|h_a_j_1 l_ɯ_1 h_ɯə_ŋ_1 k_o_4 b_ă_ŋ_2 d_o_ŋ͡m_2 m_u_n_1
VIVOSSPK19_098|ɲ_ɯ_ŋ_1 h_ɔ_6 h_iə_n_6 tʰ_iə_w_5 c_uə_ŋ_2 k_a_w_1 s_u_1
VIVOSSPK19_099|ŋ_ă_j_2 l_ă_ŋ_6 z_ɔ_5 x_ɛ_3 x_a_ŋ_2 b_uə_ŋ_1 t_iə_ŋ_5 x_ɔ_k͡p_5b
VIVOSSPK19_100|l_a_t_5b s_ă_w_1 k_ɔ_5 k_o_1 b_ɛ_5 o_ŋ͡m_2 o_k͡p_6b c_ɔ_1 c_ɔ_5 ă_n_1 c_ɛ_2 ŋ_ă_j_1 c_e_n_1 b_a_n_2
VIVOSSPK19_101|t_a_w_6 z_a_1 z_ɔ_ŋ͡m_2 d_o_ŋ͡m_6 v_ɤ̆_t_6b b_iə_n_5 d_o_j_4 ɣ_ɛ_n_1 n_ă_j_2
VIVOSSPK19_102|v_a_2 z_ɤ̆_n_1 z_a_3 ɲ_ɯ_1 c_i_ŋ_5 k_a_j_5 t_e_n_1 k_uə_4 n_ɔ_5
VIVOSSPK19_103|t_ɯ_2 v_u_6 d_o_ŋ͡m_1 s_w_ɤ̆_n_1 n_ă_m_1 ŋ_w_a_j_5 d_e_n_5 n_ă_j_1
VIVOSSPK19_104|t_iə_ŋ_5 k_ɔ_k͡p_6b k_ɛ_k_6b x_ɯ_ŋ_6 l_a_j_6 k_uə_4 ɲ_ɯ_ŋ_3 x_ɤ_p_5b s_ă_t_5b
VIVOSSPK19_105|k_u_ŋ_3 l_e_n_1 t_iə_ŋ_5 u_ŋ_4 h_o_6 k_a_k_5b k_iə_n_5 ŋ_i_6 n_ă_j_2
VIVOSSPK19_106|ɲ_ɯ_ŋ_3 ŋ_o_j_1 s_a_w_1 k_uə_4 d_o_j_6 b_ɔ_ŋ͡m_5 h_w_a_ŋ_2 z_a_1
VIVOSSPK19_107|ɲ_ɯ_ŋ_3 d_a_m_5 m_ɤ̆_j_1 tʰ_w_a_ŋ_4 ɲ_a_ŋ_5 s_a_ŋ_5 ɤ_4 ɣ_ɔ_k͡p_5b c_ɤ_j_2
VIVOSSPK19_108|c_iə_n_5 d_ɤ̆_w_5 z_ɯə_j_5 s_ɯ_6 iɛ_m_4 h_o_6 k_a_ŋ_2 ɲ_iə_w_2 k_a_ŋ_2 t_o_t_5b
VIVOSSPK19_109|s_ɛ_3 z_e_3 z_a_ŋ_2 d_e_n_5 v_ɤ_j_5 c_u_ŋ_5 t_a_1 h_ɤ_n_1
VIVOSSPK19_110|k_i_t_5b tʰ_ă_ŋ_5 k_i_t_5b s_ɛ_1 l_a_j_6
VIVOSSPK19_111|m_o_j_3 x_i_1 m_a_n_2 d_e_m_1 b_uə_ŋ_1 s_uə_ŋ_5 v_a_2 m_o_j_3 x_i_1 b_a_n_6 ɣ_ă_p_6b z_ă_k_5b z_o_j_5
VIVOSSPK19_112|s_ɛ_3 k_ɔ_5 h_iə_w_6 kw_a_4 k_a_w_1
VIVOSSPK19_113|v_iə_n_1 f_i_1 k_o_ŋ͡m_1 d_a_3 b_i_6 m_o_t_6b t_ă_j_1 b_ă_n_5 t_iə_4
VIVOSSPK19_114|ɲ_ɯ_ŋ_3 k_ɤ_n_1 z_ɔ_5 m_ɛ_ŋ_6 v_a_2 m_ɯə_1 d_ɔ_ŋ͡m_5 b_ă_ŋ_1 ɣ_ɤ̆_j_1 c_ɤ_n_1 c_ɤ_t_6b
VIVOSSPK19_115|h_ă_j_1 m_o_t_6b m_ɛ_ŋ_4 b_ɔ_m_1 ɣ_i_m_1 v_a_w_2 n_a_n_6 ɲ_ɤ̆_n_1
VIVOSSPK19_116|f_ɤ_j_1 z_a_1 k_a_j_5 b_u_ŋ_6 t_ɔ_1 f_ɛ_2 v_ɯə_2 uə_ŋ_5 n_ɯə_k_5b ɔ_ŋ͡m_2 ɔ_k͡p_6b
VIVOSSPK19_117|v_a_2 ɲ_ɯ_ŋ_3 ɯə_k_5b m_o_ŋ͡m_6 v_iə_n_4 v_o_ŋ͡m_1 ɲ_ɤ̆_t_5b k_uə_4 t_o_j_1
VIVOSSPK19_118|m_ɔ_j_6 tʰ_ɯ_5 d_ɛu_2 k_ɔ_j_1 d_ɯə_k_6b c_ɯ_2 c_a_j_5 k_o_4 k_uə_4 ɛ_m_1 t_ɔ_1 kw_a_5
VIVOSSPK19_119|ŋ_ă_j_2 b_a_1 d_i_1 s_a_1
VIVOSSPK19_120|v_a_w_2 tʰ_a_ŋ_5 c_i_n_5 o_ŋ͡m_1 d_e_n_5 m_i_3 z_ɯ_6 m_o_t_6b h_o_j_6 tʰ_a_w_4 h_ɔ_k͡p_6b tʰ_w_ɤ̆_t_6b
VIVOSSPK19_121|h_o_j_6 d_o_ŋ͡m_2 a_n_1 n_i_ŋ_1 kw_o_k͡p_5b z_a_1 m_i_3 n_ɔ_j_5
VIVOSSPK19_122|l_ɯə_ŋ_6 t_iə_p_5b v_iə_n_1 n_ɯ_3 z_ɤ̆_p_6b z_i_w_2 ɔ_n_4 ɛ_n_4 k_o_ŋ͡m_1 x_a_j_1 m_o_j_2 c_a_j_2 x_ɛ_k_5b
VIVOSSPK19_123|v_ɤ_j_5 t_a_j_2 n_ă_ŋ_1 d_ɯ_k_5b d_o_6 k_uə_4 v_i_6 d_a_j_6 c_a_2 s_ɯ_1
VIVOSSPK19_124|n_ɛu_5 c_u_ŋ_5 t_a_1 l_ɯə_2 z_o_j_5 b_a_n_4 tʰ_ɤ̆_n_1
VIVOSSPK19_125|k_ɔ_n_2 m_o_t_6b t_u_j_5 c_ɯ_ŋ_5 z_uə_2 h_ă_ŋ_2 c_ă_m_1 kw_a_4
VIVOSSPK19_126|c_ɛ_4 k_ɔ_n_1 d_ɤ̆_m_5 d_a_5 ɲ_ă_w_1 k_ɛu_1 w_e_1 w_e_5
VIVOSSPK19_127|v_a_2 b_a_w_1 ɲ_iə_w_1 b_i_ŋ_1 s_i_3 s_ɛ_3 d_ɯə_k_6b ɣ_ɯ_j_4 d_i_1
VIVOSSPK19_128|x_o_ŋ͡m_1 k_ɔ_5 z_a_j_4 a_1
VIVOSSPK19_129|z_i_1 t_i_k_5b k_ɔ_5 b_ă_j_4 f_o_ŋ͡m_3 o_ŋ͡m_1 v_a_2 h_a_j_1 f_o_ŋ͡m_3 b_a_2 d_ɯə_k_6b l_a_m_2 b_ă_ŋ_2 ɣ_o_3 m_i_t_5b
VIVOSSPK19_130|k_a_k_5b c_u_5 k_u_ŋ_3 tʰ_w_a_j_4 m_a_j_5 f_ɔ_ŋ͡m_5 w_e_5 z_ɯə_3 c_o_n_5 d_o_ŋ͡m_1 ŋ_ɯə_j_2 m_a_2 x_o_ŋ͡m_1 s_ɤ_6
VIVOSSPK19_131|ɲ_ɯ_ŋ_1 x_e_6 n_e_6 v_ɤ_j_5 h_a_ŋ_2 t_a_5 c_ɯ_k_5b n_ă_ŋ_1 l_w_a_n_6 k_a_4 m_ă_t_5b
VIVOSSPK19_132|z_ɯə_3 ɲ_a_2 s_a_n_4 s_w_ɤ̆_t_5b v_a_2 ŋ_ɯə_j_2 t_iə_w_1 z_u_ŋ_2
VIVOSSPK19_133|tʰ_ɯə_ŋ_2 tʰ_i_2 l_uə_n_1 k_ɔ_5 ɲ_ɯ_ŋ_3 c_i_ŋ_2 t_ɯ_6 h_ɤ_p_6b l_i_5
VIVOSSPK19_134|c_ɤ̆_t_6b v_ɤ̆_t_6b l_a_m_2 v_ɤ_4 t_o_t_5b ŋ_iə_p_6b d_a_w_6 z_iə_n_3
VIVOSSPK19_135|h_ă_j_1 b_ɤ̆_t_5b k_ɯ_5 c_iə_k_5b m_ă_j_5 t_i_ŋ_5 n_a_w_2 k_ɔ_5 tʰ_e_4 c_w_i_1 k_ɤ̆_p_6b d_ɯə_k_6b
VIVOSSPK19_136|ŋ_ɯə_j_2 t_a_1 n_ɔ_j_5
VIVOSSPK19_137|x_o_ŋ͡m_1 k_ɔ_5 d_iə_w_2 n_a_w_2 c_ɔ_ŋ͡m_1 s_o_5 ɲ_ɯ_ŋ_3 d_iə_w_2 k_e_4 c_e_n_1
VIVOSSPK19_138|k_ɤ̆_w_1 h_ɔ_j_4 v_ɤ_5 v_ɤ̆_n_3
VIVOSSPK19_139|ɲ_ɯ_ŋ_1 k_ɤ̆_w_1 c_w_iə_n_6 v_ɤ̆_n_3 c_ɯə_1 z_ɯ_ŋ_2 l_a_j_6
VIVOSSPK19_140|n_ă_j_1 l_a_j_6 ɣ_ɯ_j_4 k_ɔ_n_1 k_a_j_5 d_e_n_5 c_ɔ_1 o_ŋ͡m_1
VIVOSSPK19_141|c_a_2 c_o_n_6 v_a_w_2 n_ɯə_k_5b t_a_1 d_e_4 f_a_5 z_o_j_5 ɲ_ɤ̆_n_1 z_i_p_6b
VIVOSSPK19_142|s_ă_w_1 ɲ_iə_w_2 tʰ_a_ŋ_5 c_ɤ_j_1 c_ɔ_2 u_5 t_i_m_1 v_ɤ_j_5 c_i_ŋ_5 kw_iɛ_n_2
VIVOSSPK19_143|d_ɔ_j_2 h_ɔ_j_4 n_ă_j_2 l_a_2 x_o_ŋ͡m_1 tʰ_e_4 tʰ_ɯ_k_6b h_iə_n_6 d_ɯə_k_6b
